Tipe_Proyek,Lokasi,Luas_Bangunan,Luas_Tanah,Jumlah_Lantai,Target_Vol_Pondasi,Target_Vol_Dinding,Target_Vol_Keramik,Target_Vol_Atap,Target_Vol_Beton
Gudang,Bandung,1790,2395,1,731.23,429.37,1533.41,2200.18,318.21
Gudang,Makassar,648,931,1,247.49,292.6,624.05,908.87,121.16
Masjid,Surabaya,371,697,1,88.8,316.63,329.36,473.33,70.43
Masjid,Medan,303,455,1,81.07,302.12,290.16,392.41,72.4
Gudang,Makassar,1202,2121,1,433.97,409.34,1107.96,1687.78,220.6
Rumah Tinggal,Makassar,53,76,1,12.76,231.93,52.91,74.83,10.65
Masjid,Makassar,707,983,1,176.0,439.64,611.24,998.89,158.91
Gudang,Bandung,1098,1834,1,394.33,383.18,1029.85,1303.01,217.43
Rumah Tinggal,Surabaya,182,326,2,24.69,649.63,156.51,137.93,31.95
Rumah Tinggal,Bandung,282,469,2,38.26,863.75,282.17,189.67,75.04
Gudang,Jakarta,1768,3081,1,663.73,473.31,1724.79,2416.51,355.89
Gudang,Jakarta,939,1196,1,347.22,313.09,872.84,1321.02,149.46
Rumah Tinggal,Surabaya,171,240,1,44.26,497.9,154.89,235.71,39.5
Masjid,Jakarta,538,897,1,145.99,361.52,506.76,633.67,115.37
Gudang,Jakarta,428,853,1,144.85,239.29,437.16,553.5,82.12
Rumah Tinggal,Medan,258,402,2,29.7,824.88,244.17,176.79,46.93
Masjid,Makassar,614,872,1,156.73,444.06,630.52,838.06,121.19
Masjid,Makassar,810,1353,1,201.01,456.53,766.4,1096.13,139.19
Sekolah,Jakarta,396,755,2,53.11,770.95,385.95,259.88,75.91
Gudang,Makassar,297,463,1,120.09,180.92,266.0,418.63,66.93
Masjid,Makassar,333,607,1,85.4,277.35,310.11,460.59,80.39
Sekolah,Surabaya,244,326,1,55.33,452.4,214.08,332.24,48.34
Sekolah,Surabaya,414,777,1,111.65,561.26,390.91,574.52,97.89
Gudang,Surabaya,1985,3340,1,765.86,503.56,1901.83,2689.21,436.6
Masjid,Bandung,864,1213,2,101.63,759.94,770.41,636.92,194.94
Gudang,Makassar,1621,2616,1,636.91,440.45,1669.64,2289.25,391.4
Gudang,Bandung,493,687,1,190.56,267.11,444.82,580.98,111.83
Masjid,Bandung,329,596,2,37.1,425.86,290.87,248.22,67.75
Rumah Tinggal,Surabaya,297,399,2,38.08,782.35,257.17,212.31,54.91
Gudang,Bandung,1888,2444,1,766.63,464.74,1854.85,2272.12,416.13
Rumah Tinggal,Surabaya,226,371,2,30.71,690.17,228.83,150.58,58.88
Gudang,Jakarta,1252,2017,1,463.16,356.84,1072.89,1621.08,285.77
Masjid,Jakarta,334,465,1,86.14,304.98,327.56,456.32,79.03
