id_proyek,tipe_proyek,luas,lantai,spek,lokasi,tahun,P001,P002,F001,F002,F003,S001,S002,S003,D001,D002,A001,A002,FN001,FN002,FN003,M001,M002,M003
PROJ_0000,rumah_tinggal,77,3,standar,jawa_timur,2022,68.6,78.68,190.7,261.27,243.17,280.33,239.31,301.94,213.86,205.38,67.59,75.98,188.85,199.06,247.91,84.54,91.4,71.64
PROJ_0001,ruko,239,2,standar,jawa_tengah,2023,226.62,236.09,502.35,488.69,568.03,468.36,561.52,512.58,433.29,413.03,221.06,270.76,536.27,456.49,437.53,256.45,204.56,210.31
PROJ_0002,rumah_tinggal,75,3,premium,jawa_barat,2020,90.33,125.41,239.84,243.46,250.27,243.43,254.31,211.84,152.25,192.13,118.61,123.13,622.12,592.81,574.56,230.33,207.36,182.77
PROJ_0003,gedung_sekolah,79,2,standar,jawa_barat,2023,77.0,69.98,152.22,180.34,141.18,143.09,158.6,159.45,134.59,129.28,87.97,84.19,152.08,177.85,136.95,63.92,66.05,86.03
PROJ_0004,rumah_tinggal,377,3,standar,jawa_tengah,2022,371.25,325.92,1131.47,973.71,1219.82,1217.31,1184.89,1145.32,951.95,854.79,314.82,319.4,1339.96,1315.84,1221.35,341.69,447.75,419.04
PROJ_0005,rumah_tinggal,400,2,premium,jawa_tengah,2020,652.05,587.85,727.12,670.85,928.83,864.43,775.23,811.7,660.28,557.25,731.29,706.18,2175.57,1945.67,2101.85,1240.37,1271.93,1000.53
PROJ_0006,gedung_sekolah,425,2,standar,luar_jawa,2022,410.69,347.07,847.96,792.15,729.14,786.67,967.78,811.8,795.63,702.05,398.97,440.46,687.75,1005.91,843.98,473.06,354.06,422.73
PROJ_0007,kantor,208,1,standar,jawa_tengah,2023,207.23,244.43,213.97,205.79,188.61,213.39,230.69,223.21,134.56,188.12,240.96,178.07,212.5,175.43,222.33,189.8,221.26,226.89
PROJ_0008,gedung_sekolah,398,2,menengah,jawa_timur,2021,528.92,402.66,928.46,710.1,648.71,894.81,830.39,991.11,715.32,590.22,611.13,474.13,1201.19,1077.45,1402.25,620.29,585.99,697.8
PROJ_0009,ruko,417,2,standar,jawa_timur,2021,499.13,482.33,1100.32,1157.24,1158.3,924.32,849.85,1017.22,710.34,633.48,349.36,458.16,754.76,979.72,747.59,354.08,472.23,359.17
