kode,kategori,item,koef,harga,subtotal
A.001,A. Tenaga,Pekerja,0.481,120000,57720
A.001,A. Tenaga,Mandor,0.029,220000,6380
A.002,A. Tenaga,Pekerja,0.48,120000,57600
A.002,A. Tenaga,Mandor,0.031,220000,6820
A.002,B. Bahan,Seng Gelombang,1.176,65000,76440
A.002,B. Bahan,Kaso Kayu 5/7,0.493,35000,17255
A.003,A. Tenaga,Pekerja,0.49,120000,58800
A.003,A. Tenaga,Mandor,0.03,220000,6600
A.003,B. Bahan,Kawat Beton,0.495,25000,12375
A.004,A. Tenaga,Pekerja,0.518,120000,62160
A.004,A. Tenaga,Mandor,0.029,220000,6380
A.004,B. Bahan,Plywood 9mm,0.513,125000,64125
A.004,B. Bahan,Kaso Kayu 5/7,0.962,35000,33670
A.004,B. Bahan,Semen PC,4.884,75000,366300
A.005,A. Tenaga,Pekerja,0.519,120000,62280
A.005,A. Tenaga,Mandor,0.031,220000,6820
A.006,A. Tenaga,Pekerja,0.486,120000,58320
A.006,A. Tenaga,Mandor,0.031,220000,6820
A.006,B. Bahan,Papan Bekisting,0.201,45000,9045
A.006,B. Bahan,Kaso Kayu 5/7,0.291,35000,10185
A.007,A. Tenaga,Pekerja,0.484,120000,58080
A.007,A. Tenaga,Mandor,0.029,220000,6380
A.008,A. Tenaga,Pekerja,0.518,120000,62160
A.008,A. Tenaga,Mandor,0.031,220000,6820
A.009,A. Tenaga,Pekerja,0.487,120000,58440
A.009,A. Tenaga,Mandor,0.029,220000,6380
A.010,A. Tenaga,Pekerja,0.503,120000,60360
A.010,A. Tenaga,Mandor,0.029,220000,6380
A.011,A. Tenaga,Pekerja,0.492,120000,59040
A.011,A. Tenaga,Mandor,0.03,220000,6600
A.012,A. Tenaga,Pekerja,0.509,120000,61080
A.012,A. Tenaga,Mandor,0.029,220000,6380
B.013,A. Tenaga,Pekerja,0.798,120000,95760
B.013,A. Tenaga,Mandor,0.048,220000,10560
B.013,A. Tenaga,Tukang Gali,0.195,140000,27300
B.013,C. Alat,Sewa Alat Bantu,0.1,5000,500
B.014,A. Tenaga,Pekerja,0.807,120000,96840
