id_proyek,P001_biaya,P002_biaya,F001_biaya,F002_biaya,F003_biaya,S001_biaya,S002_biaya,S003_biaya,D001_biaya,D002_biaya,A001_biaya,A002_biaya,FN001_biaya,FN002_biaya,FN003_biaya,M001_biaya,M002_biaya,M003_biaya,total_biaya
PROJ_0000,1028999.9999999999,1967000.0000000002,14302500.0,48334950.0,206694500.0,266313499.99999997,234523800.0,292881800.0,26732500.0,9242100.0,9800550.0,7218100.0,6609750.0,24882500.0,111559500.0,7185900.000000001,5941000.0,5373000.0,1280591950.0
PROJ_0001,3399300.0,5902250.0,37676250.0,90407650.0,482825500.0,444942000.0,550289600.0,497202600.00000006,54161250.0,18586350.0,32053700.0,25722200.0,18769450.0,57061250.0,196888500.0,21798250.0,13296400.0,15773250.0,2566755750.0
PROJ_0002,1354950.0,3135250.0,17988000.0,45040100.0,212729500.0,231258500.0,249223800.0,205484800.0,19031250.0,8645850.0,17198450.0,11697350.0,21774200.0,74101250.0,258551999.99999997,19578050.0,13478400.0,13707750.0,1423979450.0
PROJ_0003,1155000.0,1749500.0,11416500.0,33362900.0,120003000.0,135935500.0,155428000.0,154666500.0,16823750.0,5817600.0,12755650.0,7998050.0,5322800.0,22231250.0,61627499.99999999,5433200.0,4293250.0,6452250.0,762472200.0
PROJ_0004,5568750.0,8148000.0,84860250.0,180136350.0,1036847000.0,1156444500.0,1161192200.0,1110960400.0,118993750.0,38465550.0,45648900.0,30342999.999999996,46898600.0,164480000.0,549607500.0,29043650.0,29103750.0,31428000.0,5828170150.0
PROJ_0005,9780750.0,14696250.0,54534000.0,124107250.0,789505500.0,821208500.0,759725400.0,787349000.0,82535000.0,25076250.0,106037050.0,67087099.99999999,76144950.0,243208750.0,945832500.0,105431449.99999999,82675450.0,75039750.0,5169974900.0
PROJ_0006,6160350.0,8676750.0,63597000.0,146547750.0,619769000.0,747336500.0,948424400.0,787446000.0,99453750.0,31592249.999999996,57850650.00000001,41843700.0,24071250.0,125738750.0,379791000.0,40210100.0,23013900.0,31704750.0,4183227850.0
PROJ_0007,3108450.0,6110750.0,16047750.0,38071150.0,160318500.0,202720500.0,226076200.0,216513700.0,16820000.0,8465400.0,34939200.0,16916650.0,7437500.0,21928750.0,100048500.0,16133000.000000002,14381900.0,17016750.0,1123054650.0
PROJ_0008,7933799.999999999,10066500.0,69634500.0,131368500.0,551403500.0,850069500.0,813782200.0,961376700.0,89415000.0,26559900.0,88613850.0,45042350.0,42041650.0,134681250.0,631012500.0,52724650.0,38089350.0,52335000.0,4596150700.0
PROJ_0009,7486950.0,12058250.0,82524000.0,214089400.0,984555000.0,878104000.0,832853000.0,986703400.0,88792500.0,28506600.0,50657200.0,43525200.0,26416600.0,122465000.0,336415500.0,30096800.0,30694950.0,26937750.0,4782882100.0
