id_proyek,P001_biaya,P002_biaya,F001_biaya,F002_biaya,F003_biaya,S001_biaya,S002_biaya,S003_biaya,D001_biaya,D002_biaya,A001_biaya,A002_biaya,FN001_biaya,FN002_biaya,FN003_biaya,M001_biaya,M002_biaya,M003_biaya,total_biaya
PROJ_0000,1234350.0,2279750.0,16430250.0,41454800.0,220863999.99999997,241955500.0,272587000.0,242500000.0,20471250.0,9131850.0,9517800.0,6433400.0,8495200.0,31731250.0,120361500.00000001,5950000.0,4225650.0,6828750.0,1262452300.0
PROJ_0001,3089400.0,5252500.0,39429000.0,107362900.0,562224000.0,551570000.0,558188400.0,443755600.0,45078750.0,17059500.0,29767050.0,20647300.0,15447250.0,50842500.0,219424500.0,21981000.000000004,12862850.0,17790000.0,2721772500.0
PROJ_0002,1878000.0,3091500.0,19002000.0,40762900.0,215772500.0,210738500.0,229045600.0,208996200.0,22207500.0,7750350.0,15596200.0,12548550.0,18221700.0,63922500.0,215752500.0,18656650.0,13472550.0,15992250.0,1333407950.0
PROJ_0003,1059900.0,2183000.0,13888500.0,29205950.0,141984000.0,189363500.0,204310400.0,176239300.0,18263750.0,6617700.0,12790450.0,7388150.0,4603550.0,15925000.0,70452000.0,6699699.999999999,4944550.0,6086250.0,912005650.0
PROJ_0004,5773050.0,10694000.0,71547000.0,186233950.0,1074026000.0,1346340000.0,1460533200.0,1386789600.0,130738750.00000001,37692450.0,52514650.0,32492849.999999996,41268150.0,166190000.0,477324000.0,32776000.000000004,22508200.0,24540750.0,6559982600.0
PROJ_0005,7902600.000000001,12347750.0,70782750.0,142250200.0,770882000.0,896638500.0,756128800.0,742787200.0,89983750.0,26089650.0,108141000.0,52045750.0,74975950.0,281447500.0,804694500.0,92869300.0,92493050.0,81525750.0,5103986000.0
PROJ_0006,6196350.0,10338250.0,57452250.0,174597450.0,801065500.0,845015500.0,1039133199.9999999,802859300.0,68146250.0,31471200.0,73803550.0,32924150.0,26275200.0,107053750.0,429921000.0,30186900.0,26467350.0,35025000.0,4597932150.0
PROJ_0007,2959650.0,4552750.0,13700249.999999998,37096200.0,175346500.0,248814500.00000003,236983600.0,238843100.0,24818750.0,7223850.0,28994200.0,23105900.0,6540100.000000001,28390000.0,103131000.0,14835900.0,13348400.0,13731750.0,1222416400.0
PROJ_0008,6262350.0,11767250.0,54671250.0,164699950.0,786913000.0,932539000.0,777777000.0,772595300.0,71790000.0,24472800.0,88341250.0,47227350.0,37187850.0,169946250.0,515636999.99999994,49570299.99999999,40269450.0,56722500.0,4608389850.0
PROJ_0009,6962850.0,9219500.0,87591750.00000001,211142350.0,969221000.0,776587000.0,737410800.0,1020663100.0,76921250.0,31452300.000000004,66752200.0,33725000.0,32469150.000000004,122536250.0,409585500.0,34612000.0,31188950.0,31618500.0,4689659450.0
PROJ_0010,4034850.0,6910250.000000001,20208000.0,41478850.0,176417500.0,229225500.0,264413800.0,261967900.0,25310000.0,8450100.0,39602400.0,27121550.0,7706300.0,33522500.0,118098000.0,21017100.0,13941200.0,20544750.0,1319970550.0
PROJ_0011,6245700.0,9570000.0,76944000.0,194109400.0,702933000.0,969342000.0,937683600.0,1120456700.0,73618750.0,30534749.999999996,63527400.0,33060000.0,51459800.0,157085000.0,707238000.0,51706349.99999999,31556850.0,43830000.0,5260901300.0
PROJ_0012,6085200.0,11311500.0,103840500.0,272625250.0,896180499.9999999,1208286000.0,1522528000.0,1424532300.0,129971250.0,38532600.0,59110700.0,47251100.0,37019150.0,156007500.0,690223500.0,30262549.999999996,31027750.0,29394000.0,6694189350.0
PROJ_0013,6790350.0,10841500.0,28482000.0,53949700.0,283152000.0,382213500.0,318588200.0,313232400.0,26677500.0,14016150.000000002,67226350.0,42834550.0,18958100.0,62467500.0,219955500.0,49321250.0,40655550.0,39112500.0,1978474600.0
PROJ_0014,9383250.0,15225750.0,50891250.0,137769500.0,525580500.00000006,897037500.0,903746200.0,900383100.0,67352500.0,22552200.0,74096450.0,45872650.0,53575200.0,186935000.0,971392500.0,76370800.0,60048300.0,91857750.0,5090070400.0
