id_proyek,tipe_proyek,luas,lantai,spek,lokasi,tahun
PROJ_0000,rumah_tinggal,77,3,standar,jawa_timur,2022
PROJ_0001,ruko,239,2,standar,jawa_tengah,2023
PROJ_0002,rumah_tinggal,75,3,premium,jawa_barat,2020
PROJ_0003,gedung_sekolah,79,2,standar,jawa_barat,2023
PROJ_0004,rumah_tinggal,377,3,standar,jawa_tengah,2022
PROJ_0005,rumah_tinggal,400,2,premium,jawa_tengah,2020
PROJ_0006,gedung_sekolah,425,2,standar,luar_jawa,2022
PROJ_0007,kantor,208,1,standar,jawa_tengah,2023
PROJ_0008,gedung_sekolah,398,2,menengah,jawa_timur,2021
PROJ_0009,ruko,417,2,standar,jawa_timur,2021
PROJ_0010,rumah_tinggal,245,1,standar,luar_jawa,2020
PROJ_0011,rumah_tinggal,293,3,menengah,jawa_timur,2020
PROJ_0012,kantor,434,3,standar,luar_jawa,2021
PROJ_0013,rumah_tinggal,329,1,menengah,jawa_barat,2023
PROJ_0014,kantor,361,2,premium,jawa_timur,2020
PROJ_0015,ruko,486,2,premium,jawa_barat,2023
PROJ_0016,rumah_tinggal,350,3,premium,jawa_tengah,2023
PROJ_0017,kantor,126,2,standar,jawa_tengah,2021
PROJ_0018,rumah_tinggal,266,1,menengah,jawa_timur,2022
PROJ_0019,gedung_sekolah,107,3,premium,jawa_timur,2022
PROJ_0020,ruko,464,3,menengah,jawa_timur,2021
PROJ_0021,ruko,484,2,premium,jawa_timur,2021
PROJ_0022,rumah_tinggal,456,2,premium,jawa_tengah,2020
PROJ_0023,ruko,253,3,standar,luar_jawa,2020
PROJ_0024,gedung_sekolah,250,1,menengah,jawa_tengah,2022
PROJ_0025,kantor,256,1,standar,jawa_tengah,2020
PROJ_0026,rumah_tinggal,297,3,menengah,luar_jawa,2023
PROJ_0027,kantor,238,1,standar,jawa_tengah,2023
PROJ_0028,kantor,328,3,standar,luar_jawa,2020
PROJ_0029,gedung_sekolah,180,3,premium,luar_jawa,2023
PROJ_0030,ruko,237,3,menengah,jawa_tengah,2023
PROJ_0031,ruko,215,3,premium,jawa_timur,2021
PROJ_0032,gedung_sekolah,147,3,premium,luar_jawa,2022
PROJ_0033,kantor,100,3,standar,jawa_tengah,2020
PROJ_0034,gedung_sekolah,409,1,standar,jawa_barat,2023
PROJ_0035,rumah_tinggal,401,3,standar,jawa_tengah,2022
PROJ_0036,gedung_sekolah,254,3,premium,jawa_barat,2021
PROJ_0037,gedung_sekolah,398,2,menengah,luar_jawa,2021
PROJ_0038,kantor,270,2,premium,jawa_barat,2020
PROJ_0039,rumah_tinggal,100,1,premium,jawa_timur,2020
PROJ_0040,kantor,239,3,standar,jawa_timur,2022
PROJ_0041,gedung_sekolah,254,3,standar,luar_jawa,2022
PROJ_0042,rumah_tinggal,72,3,premium,jawa_timur,2022
PROJ_0043,ruko,330,2,premium,jawa_barat,2022
PROJ_0044,kantor,78,2,premium,jawa_tengah,2023
PROJ_0045,ruko,177,2,menengah,jawa_tengah,2020
PROJ_0046,rumah_tinggal,197,2,premium,jawa_timur,2023
PROJ_0047,gedung_sekolah,135,1,standar,jawa_barat,2021
PROJ_0048,kantor,496,3,menengah,jawa_tengah,2020
PROJ_0049,rumah_tinggal,144,3,standar,jawa_barat,2020
