id_proyek,P001,P002,F001,F002,F003,S001,S002,S003,D001,D002,A001,A002,FN001,FN002,FN003,M001,M002,M003
PROJ_0000,82.29,91.19,219.07,224.08,259.84,254.69,278.15,250.0,163.77,202.93,65.64,67.72,242.72,253.85,267.47,70.0,65.01,91.05
PROJ_0001,205.96,210.1,525.72,580.34,661.44,580.6,569.58,457.48,360.63,379.1,205.29,217.34,441.35,406.74,487.61,258.6,197.89,237.2
PROJ_0002,125.2,123.66,253.36,220.34,253.85,221.83,233.72,215.46,177.66,172.23,107.56,132.09,520.62,511.38,479.45,219.49,207.27,213.23
PROJ_0003,70.66,87.32,185.18,157.87,167.04,199.33,208.48,181.69,146.11,147.06,88.21,77.77,131.53,127.4,156.56,78.82,76.07,81.15
PROJ_0004,384.87,427.76,953.96,1006.67,1263.56,1417.2,1490.34,1429.68,1045.91,837.61,362.17,342.03,1179.09,1329.52,1060.72,385.6,346.28,327.21
PROJ_0005,526.84,493.91,943.77,768.92,906.92,943.83,771.56,765.76,719.87,579.77,745.8,547.85,2142.17,2251.58,1788.21,1092.58,1422.97,1087.01
PROJ_0006,413.09,413.53,766.03,943.77,942.43,889.49,1060.34,827.69,545.17,699.36,508.99,346.57,750.72,856.43,955.38,355.14,407.19,467.0
PROJ_0007,197.31,182.11,182.67,200.52,206.29,261.91,241.82,246.23,198.55,160.53,199.96,243.22,186.86,227.12,229.18,174.54,205.36,183.09
PROJ_0008,417.49,470.69,728.95,890.27,925.78,981.62,793.65,796.49,574.32,543.84,609.25,497.13,1062.51,1359.57,1145.86,583.18,619.53,756.3
PROJ_0009,464.19,368.78,1167.89,1141.31,1140.26,817.46,752.46,1052.23,615.37,698.94,460.36,355.0,927.69,980.29,910.19,407.2,479.83,421.58
PROJ_0010,268.99,276.41,269.44,224.21,207.55,241.29,269.81,270.07,202.48,187.78,273.12,285.49,220.18,268.18,262.44,247.26,214.48,273.93
PROJ_0011,416.38,382.8,1025.92,1049.24,826.98,1020.36,956.82,1155.11,588.95,678.55,438.12,348.0,1470.28,1256.68,1571.64,608.31,485.49,584.4
