kode,divisi,uraian,satuan,harga_satuan
A.001,A,Pembersihan lapangan dan perataan,m2,70510
A.002,A,Pembuatan pagar sementara dari seng gelombang (tinggi 2m),m1,173926
A.003,A,Pembuatan pagar sementara dari kawat duri (tinggi 1.8m),m1,85552
A.004,A,Pembuatan Direksi Keet/Gudang/Los Kerja (lantai plesteran),m2,585898
A.005,A,Pembuatan Gudang Semen dan Peralatan,m2,76010
A.006,A,Pengukuran dan pemasangan bouwplank,m1,92807
A.007,A,Sewa/Penyediaan Air kerja,Ls,70906
A.008,A,Sewa/Penyediaan Listrik kerja,Ls,75878
A.009,A,Mobilisasi dan Demobilisasi Alat Berat,Ls,71302
A.010,A,Papan Nama Proyek,Bh,73414
A.011,A,Penyelenggaraan Keamanan dan Kesehatan Kerja (K3) Konstruksi,Ls,72204
A.012,A,Dokumentasi dan pelaporan proyek,Ls,74206
B.013,B,Galian tanah biasa sedalam s/d 1 m,m3,147532
B.014,B,Galian tanah biasa sedalam 1 m s/d 2 m,m3,149550
B.015,B,Galian tanah biasa sedalam > 2 m,m3,150012
B.016,B,Galian tanah keras/berbatu sedalam s/d 1 m,m3,75130
B.017,B,Galian tanah lumpur sedalam s/d 1 m,m3,74470
B.018,B,Pengupasan lapisan tanah atas (stripping) tebal 20 cm,m2,146041
B.019,B,Buangan tanah sejauh 30 m,m3,70114
B.020,B,Urugan tanah kembali (bekas galian),m3,72974
B.021,B,Urugan tanah merah/peninggian lantai (didatangkan),m3,75394
B.022,B,Pemadatan tanah (per 20 cm) dengan alat stamper,m3,107107
B.023,B,Urugan pasir urug bawah pondasi (tebal 5 cm),m3,118140
B.024,B,Urugan pasir urug bawah lantai (tebal 10 cm),m3,121264
B.025,B,Urugan sirtu (pasir batu) dipadatkan,m3,72050
C.026,C,Pasangan aanstamping (batu kosong),m3,75790
C.027,C,Pasangan pondasi batu kali campuran 1SP : 3PP,m3,751289
C.028,C,Pasangan pondasi batu kali campuran 1SP : 4PP,m3,745244
C.029,C,Pasangan pondasi batu kali campuran 1SP : 5PP,m3,735673
C.030,C,Pondasi sumuran diameter 60 cm,m1,74338
C.031,C,Pondasi sumuran diameter 80 cm,m1,76560
C.032,C,Pondasi plat beton setempat (footplate) K-225,m3,184710
C.033,C,Pondasi cerucuk bambu/dolken diameter 8-10 cm,m1,71434
C.034,C,Pemancangan tiang pancang mini pile (20x20),m1,76054
C.035,C,Pemancangan tiang pancang mini pile (25x25),m1,74294
D.036,D,Lantai kerja beton mutu K-100 (tebal 5 cm),m3,1056616
D.037,D,Beton mutu K-175 (Sloof/Kolom Praktis),m3,177452
D.038,D,Beton mutu K-225 (Kolom/Balok/Plat),m3,1357052
D.039,D,Beton mutu K-250 (Struktur Utama),m3,183843
D.040,D,Beton mutu K-300 (Struktur Khusus),m3,187173
D.041,D,Pembesian dengan besi polos (per 10 kg),10Kg,311493
D.042,D,Pembesian dengan besi ulir (per 10 kg),10Kg,163152
D.043,D,Pasang bekisting pondasi (papan terentang),m2,166584
D.044,D,Pasang bekisting sloof (papan terentang),m2,167827
D.045,D,Pasang bekisting kolom (plywood 9mm + kaso),m2,239690
D.046,D,Pasang bekisting balok (plywood 9mm + kaso),m2,247731
D.047,D,Pasang bekisting plat lantai (plywood 9mm + kaso),m2,242863
D.048,D,Pasang bekisting tangga,m2,238830
D.049,D,Bongkar bekisting pondasi/sloof,m2,167150
D.050,D,Bongkar bekisting kolom/balok/plat,m2,169059
D.051,D,Membuat kolom praktis 11x11 cm (beton K-175),m1,75878
D.052,D,Membuat balok praktis/ring balk 11x11 cm (beton K-175),m1,76560
D.053,D,Membuat meja dapur beton bertulang tebal 8-10 cm,m2,72490
E.054,E,Pasangan dinding bata merah 1/2 batu 1SP:3PP,m2,1080415
E.055,E,Pasangan dinding bata merah 1/2 batu 1SP:4PP,m2,1064599
E.056,E,Pasangan dinding bata merah 1/2 batu 1SP:5PP,m2,1036140
E.057,E,Pasangan dinding bata merah 1 batu 1SP:4PP,m2,136983
E.058,E,Pasangan dinding bata ringan (hebel) tebal 7.5 cm,m2,623491
E.059,E,Pasangan dinding bata ringan (hebel) tebal 10 cm,m2,612491
E.060,E,Pasangan dinding batako (conblock) HB 10,m2,70224
E.061,E,Pasangan dinding batako (conblock) HB 20,m2,73414
E.062,E,Pasangan dinding roster/kerawang,m2,74470
E.063,E,Pasangan dinding glass block (20x20),m2,73238
E.064,E,Pasangan batu alam (dinding),m2,74580
F.065,F,Plesteran dinding tebal 15mm 1SP:3PP,m2,619547
F.066,F,Plesteran dinding tebal 15mm 1SP:4PP,m2,652338
F.067,F,Plesteran dinding tebal 15mm 1SP:5PP,m2,655534
F.068,F,Plesteran beton (skoning) 1SP:2PP,m2,618024
F.069,F,Acian semen pada dinding bata merah,m2,322404
F.070,F,Acian semen instan pada dinding bata ringan,m2,71786
F.071,F,Acian permukaan beton (kolom/balok),m2,322938
F.072,F,Pekerjaan sponengan (tali air) kusen,m1,71918
G.073,G,Pasang lantai keramik 30x30 cm,m2,76538
G.074,G,Pasang lantai keramik 40x40 cm,m2,71808
G.075,G,Pasang lantai keramik 50x50 cm,m2,74162
G.076,G,Pasang lantai keramik 60x60 cm (Granit Tile),m2,353727
G.077,G,Pasang lantai keramik KM/WC 20x20 cm,m2,71148
G.078,G,Pasang dinding keramik 20x25 cm,m2,132792
G.079,G,Pasang dinding keramik 25x40 cm,m2,137808
G.080,G,Pasang dinding keramik 30x60 cm,m2,134079
G.081,G,Pasang plint lantai keramik 10x30 cm,m1,71016
G.082,G,Pasang plint lantai keramik 10x40 cm,m1,73502
G.083,G,Pasang lantai parket/vinyl (tempel),m2,70378
G.084,G,Pasang lantai batu sikat/koral sikat,m2,70642
G.085,G,Pasang paving block natural (6 cm),m2,225258
G.086,G,Pasang paving block natural (8 cm),m2,223234
H.087,H,Pembuatan kusen pintu/jendela kayu Kelas II,m3,4444841
H.088,H,Pembuatan kusen pintu/jendela kayu Kelas I,m3,4437114
H.089,H,Pasang kusen pintu/jendela alumunium 3 inch,m1,510862
H.090,H,Pasang kusen pintu/jendela alumunium 4 inch,m1,497326
H.091,H,Pembuatan daun pintu panel kayu Kelas II,Unit,1519589
H.092,H,Pembuatan daun pintu triplek rangkap,Unit,71258
H.093,H,Pembuatan daun pintu teakwood rangkap,Unit,76538
H.094,H,Pembuatan daun jendela kaca kayu Kelas II,Unit,74602
H.095,H,Pembuatan daun pintu/jendela rangka alumunium,Unit,75790
H.096,H,Pasang pintu PVC (kamar mandi) lengkap kusen,Unit,76164
H.097,H,Pasang kaca bening tebal 3mm,m2,203951
