Ma,JENIS PEKERJAAN,,,: Pekerjaan Pembuatan Kantor Sementara,,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,":1,1,2,4 Pembuatan 1m2 Direksikeet ( Kantor ), Los Kerja dan Gudang",,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,"1,20","179.316,56","215.179,88"
,,Tukang batu/tembok,L.02,OH,"0,40","184.316,56","73.726,63"
,,Kepala Tukang,L.03,OH,"0,04","189.316,56","7.572,66"
,,Mandor,L.04,OH,"0,12","194.316,56","23.317,99"
,B,Bahan,,,,,
,,Kaso 5/7,,m3,"0,35","1.500.000,00","525.000,00"
,,Dinding triplek 4mm,,lembar,"1,00","56.439,36","56.439,36"
,,Fondasi pasangan batu,,m3,"0,17","160.000,00","27.200,00"
,,"GRC pelat, t=4mm,uk 122x244 cm",,lembar,"1,24","81.000,00","100.440,00"
,,Paku,,kg,"0,75","15.500,00","11.625,00"
,,Asbes gelombang,,lembar,"0,30","110.000,00","33.000,00"
,,Paku asbes,,kg,"0,10","15.500,00","1.550,00"
,,Lantai (Beton lantai kerja),,m3,"0,15","1.262.640,61","189.396,09"
,,Pintu Double teakwood rangka kayu,,m2,"0,10","26.992,09","2.699,21"
,,Frame besi Kaca Nako,,daun,"1,00","130.000,00","130.000,00"
,,Cat dinding/plafon,,kg,"16,50","36.800,00","607.200,00"
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp2.004.346,81"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp200.434,68"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp2.204.781,49"
,,,,,,,
,JENIS PEKERJAAN,,,: Pembuatan Papan Nama,,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,1.1.2.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,"1,000","179.316,56","179.316,56"
,,Tukang Kayu,L.02,OH,"1,000","184.316,56","184.316,56"
,,Kepala Tukang,L.03,OH,100,"189.316,56","18.931,66"
,,Tukang cat/pelitur,L.03,OH,"1,500","184.316,56","276.474,85"
,,Mandor,L.04,OH,100,"194.316,56","19.431,66"
,B,Bahan,,,,,
,,Multiplek tebal 18 mm **),,Lembar,"0,35","170.382,96","59.634,04"
,,"Tiang kayu 8/12 kelas II, tinggi 4m",,m3,"0,08","1.350.000,00","103.950,00"
,,Frame besi L.30.30.3,,kg,"5,80","139.917,07","811.519,01"
,,Paku campuran 5 cm+ 7cm,,kg,"1,25","15.500,00","19.375,00"
,,Cat Kayu,,kg,"2,50","82.000,00","205.000,00"
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp1.877.949,33"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp187.794,93"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp2.065.744,26"
,,,,,,,
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,": Pasangan 1 m’ Bouwplank (Lihat Peraturan Menteri Pekerjaan
 Umum dan Perumahan Rakyat Nomor 8 Tahun 2023 Lampiran B",,,
,SATUAN PEMBAYARAN,,,: m,,,
,KODE ANALASISA,,,: U.1.2.1.d (a)),,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,"L,01",oh,120,"179.316,56","2.151,80"
,,Tukang Kayu,"L,02",oh,60,"184.316,56","1.105,90"
,,Kepala Tukang,"L,03",oh,6,"189.316,56","113,59"
,,Mandor,"L,04",oh,12,"194.316,56","233,18"
,,,,,,,
,B,Bahan,,,,,
,,Kaso 5/7,,m3,130,"1.500.000,00","19.500,00"
,,Kayu Papan 3/20 cm,,m3,70,"1.350.000,00","9.450,00"
,,Paku campuran 2 xm dan 5 cm,,kg,200,"15.500,00","310,00"
,,,,,,,
,C,Peralatan *),,,,,
,,Waterpass,,Hari,60,"25.000,00","150,00"
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp33.014,47"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp3.301,45"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp36.315,91"
,,,,,,,
,JENIS PEKERJAAN,,,: Pembersihan Area Kerja,,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,: 4.2.6.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,5,"179.316,56","89,66"
,,Tukang Kayu,L.02,OH,25,"184.316,56","4,61"
,B,Bahan,,,,,
,,,,,,,
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp94,27"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp9,43"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp103,69"
,,,,,,,
,JENIS PEKERJAAN,,,: Pemasangan U Ditch 60x60 ( daru gardu pelanggan ke saluran utama),,,
,SATUAN PEMBAYARAN,,,: M',,,
,KODE ANALASISA,,,: 8.1.1.9 1 m' Saluran U-Ditch 60x60x120 cm dengan lantai kerja f'c 10 MPa,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,"L,01",OJ,"2,158","25.616,65","5.528,07"
,,Tukang batu/tembok,"L,02",OJ,"2,158","26.330,94","5.682,22"
,,Mandor,"L,04",OJ,108,"27.759,51","299,80"
,,,,,,,
,B,Bahan,,,,,
,,Lantai kerja f'c 10 MPa,,m3,445,"1.262.640,61","56.187,51"
,,Pasir Uruk,,m3,890,"110.000,00","9.790,00"
,,U-Ditch 60 x 60 x 120 cm,,buah,"8,333","800.000,00","666.640,00"
,,,,,,,
,C,Peralatan *),,,,,
,,"Crane truck 3 Ton, Winch5 Ton *)",,Jam,"2,158","57.142,86","12.331,43"
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp756.459,03"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp75.645,90"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp832.104,93"
,,,,,,,
,JENIS PEKERJAAN,,,: Pemasangan U Ditch 100x100 ( daru gardu pelanggan ke saluran utama),,,
,SATUAN PEMBAYARAN,,,: M',,,
,KODE ANALASISA,,,:8.1.1.15 1 m' Saluran U-Ditch 100x100x120 cm dengan lantai kerja f'c 10 MPa,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,"L,01",OJ,"9,651","25.616,65","24.722,63"
,,Tukang batu/tembok,"L,02",OJ,"2,413","26.330,94","6.353,66"
,,Mandor,"L,04",OJ,483,"27.759,51","1.340,78"
,,,,,,,
,B,Bahan,,,,,
,,Lantai kerja f'c 10 MPa,,m3,665,"1.262.640,61","83.965,60"
,,pasir Uruk,,m3,"1,330","110.000,00","14.630,00"
,,U-Ditch 100 x 100 x 120 cm,,buah,"8,333","1.250.000,00","1.041.625,00"
,,,,,,,
,C,Peralatan *),,,,,
,,"Crane truck 3 Ton, Winch5 Ton *)",,Jam,"2,158","57.142,86","12.331,43"
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp1.184.969,10"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp118.496,91"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp1.303.466,01"
,,,,,,,
,JENIS PEKERJAAN,,,: Galian Tanah,,,
,SATUAN PEMBAYARAN,,,M3,,,
,KODE ANALASISA,,,:1.2.1.1.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,"L,01",OH,"7,500","179.316,56","134.487,42"
,,Mandor,"L,04",OH,380,"194.316,56","7.384,03"
,,,,,,,
,B,Bahan,,,,,
,,,,,,,
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp141.871,45"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp14.187,15"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp156.058,60"
,,,,,,,
,JENIS PEKERJAAN,,,: Urugan Tanah Kembali,,,
,SATUAN PEMBAYARAN,,,M3,,,
,KODE ANALASISA,,,1.3.1.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,"5,000","179.316,56","89.658,28"
,,Mandor,L.04,OH,250,"194.316,56","4.857,91"
,,,,,,,
,B,Bahan,,,,,
,,,,,,,
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp94.516,20"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp9.451,62"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp103.967,82"
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,: urukan pasir,,,
,SATUAN PEMBAYARAN,,,M3,,,
,KODE ANALASISA,,,1.3.1.3,,,
,,,,,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,"L,01",OJ,650,"25.616,65","1.665,08"
,,Mandor,"L,04",OJ,65,"27.759,51","180,44"
,,,,,,,
,B,Bahan,,,,,
,,Pasir Uruk,,m3,"12,000","110.000,00","132.000,00"
,,,,,,,
,C,Peralatan *),,,,,
,,"Crane truck 3 Ton, Winch5 Ton *)",,Jam,"2,158",,"0,00"
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp133.845,52"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp13.384,55"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp147.230,07"
,,,,,,,
,JENIS PEKERJAAN,,,: Beton K-250,,"20,75",
