Tipe_Proyek,Luas_Tanah_m2,Vol_Pondasi_m3,Vol_Dinding_m2,Vol_Lantai_m2,Vol_Atap_m2
Rumah Tinggal,224,44.28,442.8,199.26,265.68
Masjid,66,18.08,108.46,72.31,94.0
Rumah Tinggal,277,59.6,595.97,268.18,357.58
Kantor Desa,313,70.88,386.64,322.2,354.42
Kantor Desa,409,97.09,529.6,441.34,485.47
Kantor Desa,282,65.91,359.48,299.57,329.53
Masjid,313,81.37,488.21,325.47,423.12
Rumah Tinggal,393,72.75,727.51,327.38,436.51
Rumah Tinggal,424,91.54,915.44,411.95,549.26
Rumah Tinggal,230,42.75,427.52,192.39,256.51
Kantor Desa,315,68.64,374.4,312.0,343.2
Rumah Tinggal,334,72.34,723.36,325.51,434.02
Masjid,234,53.88,323.3,215.53,280.19
Kantor Desa,391,91.36,498.32,415.27,456.79
Rumah Tinggal,122,25.52,255.15,114.82,153.09
Kantor Desa,359,81.03,442.01,368.34,405.17
Kantor Desa,56,12.08,65.88,54.9,60.39
Masjid,105,25.76,154.59,103.06,133.98
Rumah Tinggal,66,12.22,122.24,55.01,73.35
Kantor Desa,353,79.35,432.84,360.7,396.77
Masjid,229,56.05,336.32,224.21,291.48
Kantor Desa,387,80.22,437.57,364.64,401.1
Rumah Tinggal,498,100.23,1002.33,451.05,601.4
Masjid,77,18.48,110.9,73.93,96.12
Rumah Tinggal,322,69.67,696.66,313.5,418.0
Masjid,403,95.39,572.33,381.55,496.02
Kantor Desa,323,74.27,405.09,337.57,371.33
Masjid,329,85.94,515.62,343.75,446.87
Rumah Tinggal,313,56.59,565.94,254.67,339.56
Kantor Desa,292,67.8,369.81,308.17,338.99
Rumah Tinggal,354,75.85,758.47,341.31,455.08
Masjid,117,30.55,183.28,122.19,158.85
Masjid,439,118.95,713.73,475.82,618.56
Kantor Desa,214,45.17,246.37,205.31,225.84
Masjid,366,99.3,595.8,397.2,516.36
Rumah Tinggal,92,20.23,202.27,91.02,121.36
Rumah Tinggal,389,73.28,732.85,329.78,439.71
Masjid,292,79.57,477.43,318.29,413.77
Masjid,441,108.41,650.44,433.63,563.72
Masjid,287,74.93,449.57,299.72,389.63
Kantor Desa,399,92.12,502.49,418.74,460.61
Kantor Desa,407,96.89,528.48,440.4,484.44
Masjid,465,109.79,658.73,439.15,570.9
Kantor Desa,155,31.39,171.2,142.67,156.93
Rumah Tinggal,219,41.45,414.52,186.53,248.71
Kantor Desa,202,46.63,254.36,211.97,233.16
Masjid,94,21.41,128.45,85.63,111.32
Rumah Tinggal,245,47.43,474.26,213.42,284.55
Rumah Tinggal,204,40.99,409.87,184.44,245.92
Masjid,124,33.6,201.62,134.41,174.74
Rumah Tinggal,332,64.2,641.97,288.89,385.18
Kantor Desa,154,36.11,196.95,164.12,180.53
Rumah Tinggal,74,13.81,138.1,62.15,82.86
Kantor Desa,371,79.32,432.63,360.53,396.58
Masjid,220,51.61,309.69,206.46,268.4
Masjid,70,17.78,106.67,71.11,92.45
Masjid,343,83.81,502.89,335.26,435.84
Rumah Tinggal,265,50.3,503.05,226.37,301.83
Rumah Tinggal,259,50.05,500.48,225.22,300.29
Kantor Desa,312,69.79,380.69,317.24,348.97
Rumah Tinggal,430,88.72,887.21,399.24,532.32
Masjid,475,123.82,742.94,495.29,643.88
Rumah Tinggal,194,36.23,362.31,163.04,217.39
Masjid,306,82.72,496.33,330.89,430.15
Rumah Tinggal,127,25.53,255.35,114.91,153.21
Rumah Tinggal,384,75.01,750.07,337.53,450.04
Masjid,241,57.55,345.3,230.2,299.26
Masjid,322,79.12,474.73,316.48,411.43
Masjid,477,125.28,751.65,501.1,651.43
Masjid,343,89.41,536.47,357.64,464.94
Masjid,65,16.24,97.41,64.94,84.42
Kantor Desa,471,100.2,546.56,455.47,501.01
Kantor Desa,116,25.05,136.65,113.88,125.26
Kantor Desa,168,40.63,221.6,184.67,203.14
Kantor Desa,344,80.98,441.73,368.1,404.91
Masjid,442,106.78,640.68,427.12,555.26
Kantor Desa,57,12.23,66.73,55.61,61.17
Kantor Desa,425,97.13,529.79,441.49,485.64
Rumah Tinggal,478,94.56,945.55,425.5,567.33
Rumah Tinggal,194,35.03,350.28,157.63,210.17
Rumah Tinggal,356,66.02,660.16,297.07,396.1
Kantor Desa,196,40.29,219.75,183.13,201.44
Kantor Desa,200,45.48,248.08,206.73,227.4
Rumah Tinggal,271,50.84,508.4,228.78,305.04
Kantor Desa,445,107.49,586.33,488.61,537.47
Rumah Tinggal,424,93.02,930.16,418.57,558.1
Kantor Desa,409,96.45,526.11,438.43,482.27
Kantor Desa,286,59.59,325.06,270.89,297.97
Masjid,370,87.86,527.16,351.44,456.87
Rumah Tinggal,497,104.0,1039.97,467.99,623.98
Masjid,249,66.67,400.02,266.68,346.69
Kantor Desa,317,70.5,384.52,320.43,352.48
Rumah Tinggal,161,31.61,316.07,142.23,189.64
Rumah Tinggal,390,76.76,767.64,345.44,460.58
Rumah Tinggal,235,46.97,469.74,211.38,281.84
Kantor Desa,273,63.92,348.65,290.54,319.59
Kantor Desa,486,97.72,533.01,444.18,488.6
Masjid,319,83.87,503.23,335.49,436.13
Kantor Desa,244,51.41,280.44,233.7,257.07
Masjid,156,37.4,224.39,149.59,194.47
Rumah Tinggal,462,92.4,923.98,415.79,554.39
Masjid,318,76.76,460.56,307.04,399.15
Kantor Desa,405,87.95,479.72,399.76,439.74
Masjid,116,26.28,157.71,105.14,136.68
Kantor Desa,213,44.16,240.88,200.73,220.81
Rumah Tinggal,481,105.36,1053.55,474.1,632.13
Masjid,156,36.51,219.04,146.02,189.83
Rumah Tinggal,492,99.78,997.79,449.01,598.67
Kantor Desa,375,81.36,443.8,369.83,406.81
Rumah Tinggal,53,10.42,104.22,46.9,62.53
Kantor Desa,121,25.92,141.39,117.82,129.6
Rumah Tinggal,307,57.04,570.37,256.67,342.22
Masjid,142,36.5,219.0,146.0,189.8
Kantor Desa,150,35.74,194.94,162.45,178.7
Masjid,270,68.78,412.71,275.14,357.68
Rumah Tinggal,488,95.41,954.07,429.33,572.44
Rumah Tinggal,260,54.6,546.0,245.7,327.6
Masjid,250,59.28,355.68,237.12,308.26
Masjid,324,83.88,503.28,335.52,436.17
Masjid,302,74.63,447.77,298.51,388.07
Rumah Tinggal,60,12.94,129.44,58.25,77.66
Kantor Desa,456,108.05,589.35,491.13,540.24
Kantor Desa,62,12.82,69.92,58.26,64.09
Kantor Desa,433,94.06,513.07,427.55,470.31
Rumah Tinggal,349,74.9,749.01,337.06,449.41
Kantor Desa,287,56.96,310.71,258.92,284.82
Masjid,58,13.58,81.49,54.33,70.62
Rumah Tinggal,81,17.71,177.09,79.69,106.25
Masjid,63,16.25,97.48,64.98,84.48
Masjid,426,115.8,694.79,463.19,602.15
Masjid,395,94.96,569.75,379.83,493.78
Rumah Tinggal,300,62.36,623.55,280.6,374.13
Kantor Desa,452,98.97,539.86,449.89,494.87
Kantor Desa,423,98.38,536.61,447.18,491.9
Kantor Desa,343,77.77,424.19,353.49,388.84
Kantor Desa,428,97.94,534.24,445.2,489.72
Masjid,318,78.1,468.61,312.41,406.13
Masjid,333,76.24,457.41,304.94,396.42
Kantor Desa,484,109.48,597.17,497.64,547.41
Kantor Desa,85,17.76,96.86,80.72,88.79
Masjid,489,129.9,779.41,519.61,675.49
Rumah Tinggal,291,53.22,532.22,239.5,319.33
Kantor Desa,448,101.0,550.91,459.1,505.0
Masjid,497,132.86,797.16,531.44,690.87
Rumah Tinggal,370,74.39,743.9,334.76,446.34
Kantor Desa,346,80.73,440.34,366.95,403.64
Rumah Tinggal,420,90.28,902.82,406.27,541.69
Masjid,101,26.05,156.27,104.18,135.43
Kantor Desa,271,59.25,323.19,269.32,296.26
Masjid,373,85.07,510.41,340.28,442.36
Rumah Tinggal,413,88.54,885.44,398.45,531.26
Rumah Tinggal,326,69.74,697.38,313.82,418.43
Rumah Tinggal,153,27.62,276.15,124.27,165.69
Rumah Tinggal,468,100.67,1006.66,453.0,604.0
Masjid,333,80.95,485.69,323.79,420.93
Kantor Desa,437,95.61,521.52,434.6,478.06
Masjid,149,39.7,238.2,158.8,206.44
Masjid,259,63.02,378.14,252.09,327.72
Rumah Tinggal,454,96.21,962.09,432.94,577.25
Kantor Desa,127,25.49,139.01,115.84,127.43
Masjid,278,72.61,435.63,290.42,377.55
Masjid,131,33.91,203.47,135.64,176.34
Kantor Desa,255,56.63,308.91,257.42,283.17
Rumah Tinggal,198,36.9,369.04,166.07,221.42
Masjid,403,104.92,629.52,419.68,545.58
Masjid,324,75.91,455.44,303.63,394.71
Kantor Desa,210,42.28,230.59,192.16,211.38
Rumah Tinggal,471,102.88,1028.81,462.97,617.29
Masjid,299,73.43,440.58,293.72,381.84
Rumah Tinggal,81,15.0,149.99,67.5,89.99
Masjid,229,57.83,346.99,231.33,300.73
Rumah Tinggal,403,73.71,737.07,331.68,442.24
Masjid,469,126.57,759.43,506.28,658.17
Masjid,388,88.41,530.47,353.65,459.74
Masjid,235,53.87,323.24,215.49,280.14
Masjid,423,96.38,578.3,385.54,501.2
Kantor Desa,107,21.94,119.68,99.73,109.7
Kantor Desa,342,82.27,448.73,373.94,411.34
Rumah Tinggal,366,79.36,793.6,357.12,476.16
Masjid,159,38.1,228.62,152.41,198.14
Kantor Desa,293,63.5,346.38,288.65,317.52
Rumah Tinggal,337,72.35,723.45,325.55,434.07
Kantor Desa,83,19.07,104.0,86.66,95.33
Kantor Desa,483,111.54,608.39,506.99,557.69
Rumah Tinggal,458,100.49,1004.93,452.22,602.96
Kantor Desa,169,34.84,190.06,158.39,174.22
Rumah Tinggal,325,68.11,681.14,306.51,408.68
Kantor Desa,295,69.84,380.92,317.44,349.18
Masjid,135,34.62,207.73,138.48,180.03
Rumah Tinggal,171,35.83,358.31,161.24,214.98
Rumah Tinggal,169,31.19,311.95,140.38,187.17
Masjid,142,35.84,215.02,143.35,186.35
Kantor Desa,290,66.85,364.64,303.87,334.26
Masjid,435,104.82,628.95,419.3,545.09
Rumah Tinggal,171,36.02,360.24,162.11,216.14
Masjid,421,100.8,604.77,403.18,524.14
Rumah Tinggal,348,66.0,659.96,296.98,395.98
Masjid,169,43.78,262.66,175.1,227.64
Rumah Tinggal,393,71.07,710.71,319.82,426.43
Kantor Desa,351,75.14,409.88,341.57,375.72
Kantor Desa,163,35.52,193.73,161.44,177.59
Rumah Tinggal,326,64.89,648.95,292.03,389.37
Rumah Tinggal,466,92.72,927.19,417.24,556.31
Masjid,449,120.48,722.86,481.91,626.48
Masjid,233,53.27,319.61,213.07,276.99
Rumah Tinggal,350,71.31,713.11,320.9,427.87
Masjid,442,113.05,678.28,452.19,587.84
Kantor Desa,183,43.85,239.18,199.31,219.24
Masjid,402,100.87,605.25,403.5,524.55
Masjid,191,44.31,265.88,177.25,230.43
Kantor Desa,220,44.13,240.72,200.6,220.66
Masjid,146,33.14,198.82,132.55,172.31
Rumah Tinggal,488,106.37,1063.74,478.68,638.24
Kantor Desa,367,73.51,400.95,334.12,367.53
Masjid,80,21.12,126.71,84.47,109.82
Masjid,225,57.11,342.69,228.46,297.0
Masjid,229,54.6,327.61,218.41,283.93
Rumah Tinggal,409,86.77,867.73,390.48,520.64
Rumah Tinggal,421,83.39,833.88,375.25,500.33
Rumah Tinggal,139,29.4,293.97,132.29,176.38
Kantor Desa,258,54.82,299.0,249.16,274.08
